link_real,nombre_muni,nombre_dep,mesas_informadas%,mesas_usadas,mesas_disponibles,votantes%,votantes_cumplieron,votantes_habilidatos,apoya%,apoya#,no_apoya%,no_apoya#,votos_validos,votos_no_marcados,votos_anulados
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17032ZZZZZZZZZZZZ_L1.htm,RIO IRO,CHOCO,100.0,13,13,34.9,1340,3839,91.15,1185,8.84,115,1300,13,27
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17035ZZZZZZZZZZZZ_L1.htm,RIO QUITO (PAIMADO),CHOCO,100.0,19,19,42.18,2592,6144,77.27,1965,22.72,578,2543,15,34
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17034ZZZZZZZZZZZZ_L1.htm,RIOSUCIO,CHOCO,100.0,46,46,28.68,3879,13524,90.93,3462,9.06,345,3807,36,36
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17037ZZZZZZZZZZZZ_L1.htm,SAN JOSE DEL PALMAR,CHOCO,100.0,21,21,26.48,1101,4157,70.15,724,29.84,308,1032,22,47
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17040ZZZZZZZZZZZZ_L1.htm,SIPI,CHOCO,100.0,8,8,30.36,749,2467,87.53,618,12.46,88,706,17,26
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17043ZZZZZZZZZZZZ_L1.htm,TADO,CHOCO,100.0,35,35,33.5,4281,12777,69.56,2830,30.43,1238,4068,56,157
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17048ZZZZZZZZZZZZ_L1.htm,UNGUIA,CHOCO,100.0,22,22,26.4,2204,8348,65.95,1426,34.04,736,2162,26,16
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL17060ZZZZZZZZZZZZ_L1.htm,UNION PANAMERICANA (LAS ANIMAS,CHOCO,100.0,15,15,36.7,1852,5046,78.65,1404,21.34,381,1785,26,41
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13004ZZZZZZZZZZZZ_L1.htm,AYAPEL,CORDOBA,100.0,78,78,22.41,7217,32199,59.17,4178,40.82,2882,7060,76,81
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13007ZZZZZZZZZZZZ_L1.htm,BUENAVISTA,CORDOBA,100.0,46,46,32.39,5696,17581,72.42,4048,27.57,1541,5589,46,61
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13009ZZZZZZZZZZZZ_L1.htm,CANALETE,CORDOBA,100.0,42,42,21.54,3468,16098,77.26,2640,22.73,777,3417,31,20
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13010ZZZZZZZZZZZZ_L1.htm,CERETE,CORDOBA,100.0,160,160,32.71,23285,71178,51.23,11746,48.76,11179,22925,104,256
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13016ZZZZZZZZZZZZ_L1.htm,CHIMA,CORDOBA,100.0,32,32,31.13,3970,12752,72.13,2825,27.86,1091,3916,27,27
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13019ZZZZZZZZZZZZ_L1.htm,CHINU,CORDOBA,100.0,96,96,37.25,13226,35501,50.34,6434,49.65,6345,12779,273,174
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13013ZZZZZZZZZZZZ_L1.htm,CIENAGA DE ORO,CORDOBA,100.0,96,96,36.14,15211,42082,63.01,9377,36.98,5504,14881,142,188
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13014ZZZZZZZZZZZZ_L1.htm,COTORRA (BONGO),CORDOBA,100.0,36,36,29.39,4112,13988,65.52,2636,34.47,1387,4023,30,59
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13020ZZZZZZZZZZZZ_L1.htm,LA APARTADA (FRONTERA),CORDOBA,100.0,30,30,31.29,3919,12522,67.58,2537,32.41,1217,3754,100,65
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13022ZZZZZZZZZZZZ_L1.htm,LORICA,CORDOBA,100.0,205,205,31.2,26378,84539,67.67,17559,32.32,8386,25945,167,266
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13023ZZZZZZZZZZZZ_L1.htm,LOS CORDOBAS,CORDOBA,100.0,35,35,35.28,4841,13721,77.75,3695,22.24,1057,4752,50,39
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13024ZZZZZZZZZZZZ_L1.htm,MOMIL,CORDOBA,100.0,30,30,32.63,4220,12929,67.86,2830,32.13,1340,4170,25,25
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13025ZZZZZZZZZZZZ_L1.htm,MONTELIBANO,CORDOBA,100.0,122,122,34.11,18769,55017,58.17,10631,41.82,7643,18274,155,340
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13001ZZZZZZZZZZZZ_L1.htm,MONTERIA,CORDOBA,100.0,685,685,30.79,93265,302825,48.02,44207,51.97,47850,92057,427,781
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13027ZZZZZZZZZZZZ_L1.htm,MOÑITOS,CORDOBA,100.0,46,46,30.0,5436,18119,79.51,4230,20.48,1090,5320,51,65
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13028ZZZZZZZZZZZZ_L1.htm,PLANETA RICA,CORDOBA,100.0,117,117,28.69,15294,53300,58.15,8676,41.84,6244,14920,128,246
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13031ZZZZZZZZZZZZ_L1.htm,PUEBLO NUEVO,CORDOBA,100.0,64,64,31.98,7487,23411,66.78,4882,33.21,2428,7310,85,92
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13033ZZZZZZZZZZZZ_L1.htm,PUERTO ESCONDIDO,CORDOBA,100.0,49,49,30.42,5459,17941,77.36,4000,22.63,1170,5170,229,60
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13032ZZZZZZZZZZZZ_L1.htm,PUERTO LIBERTADOR,CORDOBA,100.0,66,66,40.26,10422,25885,75.92,7691,24.07,2439,10130,113,179
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13034ZZZZZZZZZZZZ_L1.htm,PURISIMA,CORDOBA,100.0,32,32,29.09,3904,13416,52.58,1972,47.41,1778,3750,116,38
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13037ZZZZZZZZZZZZ_L1.htm,SAHAGUN,CORDOBA,100.0,192,192,34.33,26824,78125,62.82,16501,37.17,9762,26263,277,284
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13040ZZZZZZZZZZZZ_L1.htm,SAN ANDRES DE SOTAVENTO,CORDOBA,100.0,68,68,38.87,10741,27627,72.98,7633,27.01,2826,10459,148,134
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13043ZZZZZZZZZZZZ_L1.htm,SAN ANTERO,CORDOBA,100.0,52,52,34.22,7080,20685,62.55,4352,37.44,2605,6957,35,88
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13046ZZZZZZZZZZZZ_L1.htm,SAN BERNARDO DEL VIENTO,CORDOBA,100.0,65,65,27.89,7351,26348,80.17,5799,19.82,1434,7233,61,57
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13049ZZZZZZZZZZZZ_L1.htm,SAN CARLOS,CORDOBA,100.0,48,48,18.88,3722,19707,58.72,2150,41.27,1511,3661,25,36
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13052ZZZZZZZZZZZZ_L1.htm,SAN JOSE DE URE,CORDOBA,100.0,21,21,38.97,2783,7141,80.98,2198,19.01,516,2714,26,43
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13055ZZZZZZZZZZZZ_L1.htm,SAN PELAYO,CORDOBA,100.0,88,88,31.62,11165,35301,67.15,7363,32.84,3601,10964,60,141
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13058ZZZZZZZZZZZZ_L1.htm,TIERRALTA,CORDOBA,100.0,140,140,30.66,18665,60877,69.76,12579,30.23,5452,18031,323,311
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13060ZZZZZZZZZZZZ_L1.htm,TUCHIN,CORDOBA,100.0,54,54,38.6,8218,21288,68.12,5273,31.87,2467,7740,281,197
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL13061ZZZZZZZZZZZZ_L1.htm,VALENCIA,CORDOBA,100.0,63,63,27.27,6851,25119,68.68,4581,31.31,2089,6670,90,91
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15004ZZZZZZZZZZZZ_L1.htm,AGUA DE DIOS,CUNDINAMARCA,100.0,22,22,40.06,3903,9742,44.86,1723,55.13,2117,3840,25,38
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15007ZZZZZZZZZZZZ_L1.htm,ALBAN,CUNDINAMARCA,100.0,12,12,35.9,1820,5069,38.95,693,61.04,1086,1779,8,33
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15010ZZZZZZZZZZZZ_L1.htm,ANAPOIMA,CUNDINAMARCA,100.0,27,27,40.36,4531,11225,44.88,2008,55.11,2466,4474,17,40
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15013ZZZZZZZZZZZZ_L1.htm,ANOLAIMA,CUNDINAMARCA,100.0,27,27,37.75,4241,11234,40.82,1698,59.17,2461,4159,36,46
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15217ZZZZZZZZZZZZ_L1.htm,APULO,CUNDINAMARCA,100.0,16,16,39.4,2689,6824,50.15,1323,49.84,1315,2638,16,35
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15016ZZZZZZZZZZZZ_L1.htm,ARBELAEZ,CUNDINAMARCA,100.0,20,20,44.23,3916,8852,38.9,1496,61.09,2349,3845,26,45
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15019ZZZZZZZZZZZZ_L1.htm,BELTRAN,CUNDINAMARCA,100.0,6,6,33.26,661,1987,49.69,321,50.3,325,646,9,6
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15022ZZZZZZZZZZZZ_L1.htm,BITUIMA,CUNDINAMARCA,100.0,8,8,30.85,871,2823,53.41,454,46.58,396,850,13,8
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15025ZZZZZZZZZZZZ_L1.htm,BOJACA,CUNDINAMARCA,100.0,14,14,54.43,3208,5893,39.82,1241,60.17,1875,3116,16,76
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15029ZZZZZZZZZZZZ_L1.htm,CABRERA,CUNDINAMARCA,100.0,9,9,41.5,1435,3457,74.12,991,25.87,346,1337,19,79
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15030ZZZZZZZZZZZZ_L1.htm,CACHIPAY,CUNDINAMARCA,100.0,21,21,40.06,3505,8749,48.98,1686,51.01,1756,3442,22,41
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15031ZZZZZZZZZZZZ_L1.htm,CAJICA,CUNDINAMARCA,100.0,89,89,52.37,20062,38304,45.67,9016,54.32,10722,19738,49,275
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15034ZZZZZZZZZZZZ_L1.htm,CAPARRAPI,CUNDINAMARCA,100.0,28,28,33.22,3377,10164,36.04,1170,63.95,2076,3246,57,74
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15037ZZZZZZZZZZZZ_L1.htm,CAQUEZA,CUNDINAMARCA,100.0,33,33,38.53,5525,14339,37.09,2001,62.9,3393,5394,22,109
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15040ZZZZZZZZZZZZ_L1.htm,CARMEN DE CARUPA,CUNDINAMARCA,100.0,16,16,34.32,2120,6176,37.73,780,62.26,1287,2067,12,41
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL15052ZZZZZZZZZZZZ_L1.htm,CHAGUANI,CUNDINAMARCA,100.0,9,9,41.02,1503,3664,50.65,740,49.34,721,1461,23,19
